For Query: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  R  	  0.400  	  0.800
11  	  R  	  0.455  	  1.000
12  	  R  	  0.500  	  1.000
13  	  N  	  0.462  	  1.000
14  	  N  	  0.429  	  1.000
15  	  N  	  0.400  	  1.000
16  	  N  	  0.375  	  1.000
17  	  R  	  0.412  	  1.000
18  	  R  	  0.444  	  1.000
19  	  R  	  0.474  	  1.000
20  	  N  	  0.450  	  1.000
21  	  R  	  0.476  	  1.000
22  	  R  	  0.500  	  1.000
23  	  N  	  0.478  	  1.000
24  	  N  	  0.458  	  1.000
25  	  R  	  0.480  	  1.000
26  	  N  	  0.462  	  1.000
27  	  R  	  0.481  	  1.000
28  	  N  	  0.464  	  1.000
29  	  N  	  0.448  	  1.000
30  	  N  	  0.433  	  1.000
31  	  N  	  0.419  	  1.000
32  	  R  	  0.438  	  1.000
33  	  N  	  0.424  	  1.000
34  	  N  	  0.412  	  1.000
35  	  N  	  0.400  	  1.000
36  	  N  	  0.389  	  1.000
37  	  N  	  0.378  	  1.000
38  	  N  	  0.368  	  1.000
39  	  N  	  0.359  	  1.000
40  	  N  	  0.350  	  1.000
41  	  N  	  0.341  	  1.000
42  	  N  	  0.333  	  1.000
43  	  N  	  0.326  	  1.000
44  	  N  	  0.318  	  1.000
45  	  N  	  0.311  	  1.000
46  	  N  	  0.304  	  1.000
47  	  N  	  0.298  	  1.000
48  	  N  	  0.292  	  1.000
49  	  N  	  0.286  	  1.000
50  	  N  	  0.280  	  1.000
51  	  N  	  0.275  	  1.000
52  	  N  	  0.269  	  1.000
53  	  N  	  0.264  	  1.000
54  	  N  	  0.259  	  1.000
55  	  N  	  0.255  	  1.000
56  	  N  	  0.250  	  1.000
57  	  N  	  0.246  	  1.000
58  	  N  	  0.241  	  1.000
59  	  N  	  0.237  	  1.000
60  	  N  	  0.233  	  1.000
61  	  N  	  0.230  	  1.000
62  	  N  	  0.226  	  1.000
63  	  N  	  0.222  	  1.000
64  	  N  	  0.219  	  1.000
65  	  N  	  0.215  	  1.000
66  	  N  	  0.212  	  1.000
67  	  N  	  0.209  	  1.000
68  	  N  	  0.206  	  1.000
69  	  N  	  0.203  	  1.000
70  	  N  	  0.200  	  1.000
71  	  N  	  0.197  	  1.000
72  	  N  	  0.194  	  1.000
73  	  N  	  0.192  	  1.000
74  	  N  	  0.189  	  1.000
75  	  N  	  0.187  	  1.000
76  	  N  	  0.184  	  1.000
77  	  N  	  0.182  	  1.000
78  	  N  	  0.179  	  1.000
79  	  N  	  0.177  	  1.000
80  	  N  	  0.175  	  1.000
81  	  N  	  0.173  	  1.000
82  	  N  	  0.171  	  1.000
83  	  N  	  0.169  	  1.000
84  	  N  	  0.167  	  1.000
85  	  R  	  0.176  	  1.000
86  	  N  	  0.174  	  1.000
87  	  N  	  0.172  	  1.000
88  	  N  	  0.170  	  1.000
89  	  N  	  0.169  	  1.000
90  	  N  	  0.167  	  1.000
91  	  N  	  0.165  	  1.000
92  	  R  	  0.174  	  1.000
93  	  N  	  0.172  	  1.000
94  	  N  	  0.170  	  1.000
95  	  N  	  0.168  	  1.000
96  	  N  	  0.167  	  1.000
97  	  N  	  0.165  	  1.000
98  	  N  	  0.163  	  1.000
99  	  N  	  0.162  	  1.000
100  	  N  	  0.160  	  1.000


Average precision = 0.3144658273562007

Average recall = 0.948
