For Query: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.000
07  	  R  	  1.000  	  1.000
08  	  R  	  1.000  	  1.000
09  	  R  	  1.000  	  1.000
10  	  R  	  1.000  	  1.000
11  	  N  	  0.909  	  1.000
12  	  N  	  0.833  	  1.000
13  	  N  	  0.769  	  1.000
14  	  N  	  0.714  	  1.000
15  	  N  	  0.667  	  1.000
16  	  N  	  0.625  	  1.000
17  	  N  	  0.588  	  1.000
18  	  N  	  0.556  	  1.000
19  	  N  	  0.526  	  1.000
20  	  N  	  0.500  	  1.000
21  	  N  	  0.476  	  1.000
22  	  N  	  0.455  	  1.000
23  	  N  	  0.435  	  1.000
24  	  N  	  0.417  	  1.000
25  	  N  	  0.400  	  1.000
26  	  N  	  0.385  	  1.000
27  	  N  	  0.370  	  1.000
28  	  N  	  0.357  	  1.000
29  	  N  	  0.345  	  1.000
30  	  N  	  0.333  	  1.000
31  	  N  	  0.323  	  1.000
32  	  N  	  0.312  	  1.000
33  	  N  	  0.303  	  1.000
34  	  N  	  0.294  	  1.000
35  	  N  	  0.286  	  1.000
36  	  N  	  0.278  	  1.000
37  	  N  	  0.270  	  1.000
38  	  R  	  0.289  	  1.000
39  	  N  	  0.282  	  1.000
40  	  N  	  0.275  	  1.000
41  	  N  	  0.268  	  1.000
42  	  N  	  0.262  	  1.000
43  	  N  	  0.256  	  1.000
44  	  N  	  0.250  	  1.000
45  	  N  	  0.244  	  1.000
46  	  N  	  0.239  	  1.000
47  	  N  	  0.234  	  1.000
48  	  N  	  0.229  	  1.000
49  	  N  	  0.224  	  1.000
50  	  N  	  0.220  	  1.000
51  	  N  	  0.216  	  1.000
52  	  N  	  0.212  	  1.000
53  	  N  	  0.208  	  1.000
54  	  N  	  0.204  	  1.000
55  	  R  	  0.218  	  1.000
56  	  N  	  0.214  	  1.000
57  	  N  	  0.211  	  1.000
58  	  N  	  0.207  	  1.000
59  	  N  	  0.203  	  1.000
60  	  N  	  0.200  	  1.000
61  	  N  	  0.197  	  1.000
62  	  N  	  0.194  	  1.000
63  	  N  	  0.190  	  1.000
64  	  N  	  0.188  	  1.000
65  	  N  	  0.185  	  1.000
66  	  N  	  0.182  	  1.000
67  	  N  	  0.179  	  1.000
68  	  N  	  0.176  	  1.000
69  	  N  	  0.174  	  1.000
70  	  R  	  0.186  	  1.000
71  	  N  	  0.183  	  1.000
72  	  N  	  0.181  	  1.000
73  	  N  	  0.178  	  1.000
74  	  N  	  0.176  	  1.000
75  	  N  	  0.173  	  1.000
76  	  N  	  0.171  	  1.000
77  	  N  	  0.169  	  1.000
78  	  N  	  0.167  	  1.000
79  	  N  	  0.165  	  1.000
80  	  N  	  0.163  	  1.000
81  	  N  	  0.160  	  1.000
82  	  N  	  0.159  	  1.000
83  	  N  	  0.157  	  1.000
84  	  N  	  0.155  	  1.000
85  	  N  	  0.153  	  1.000
86  	  N  	  0.151  	  1.000
87  	  N  	  0.149  	  1.000
88  	  N  	  0.148  	  1.000
89  	  N  	  0.146  	  1.000
90  	  N  	  0.144  	  1.000
91  	  N  	  0.143  	  1.000
92  	  N  	  0.141  	  1.000
93  	  N  	  0.140  	  1.000
94  	  N  	  0.138  	  1.000
95  	  N  	  0.137  	  1.000
96  	  N  	  0.135  	  1.000
97  	  N  	  0.134  	  1.000
98  	  N  	  0.133  	  1.000
99  	  N  	  0.131  	  1.000
100  	  N  	  0.130  	  1.000


Average precision = 0.34550657528714235

Average recall = 0.98
