For Query: setl very high level languages

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  R  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  R  	  0.500  	  1.000
13  	  N  	  0.462  	  1.000
14  	  R  	  0.500  	  1.000
15  	  N  	  0.467  	  1.000
16  	  N  	  0.438  	  1.000
17  	  R  	  0.471  	  1.000
18  	  R  	  0.500  	  1.000
19  	  N  	  0.474  	  1.000
20  	  N  	  0.450  	  1.000
21  	  N  	  0.429  	  1.000
22  	  N  	  0.409  	  1.000
23  	  N  	  0.391  	  1.000
24  	  N  	  0.375  	  1.000
25  	  N  	  0.360  	  1.000
26  	  N  	  0.346  	  1.000
27  	  N  	  0.333  	  1.000
28  	  N  	  0.321  	  1.000
29  	  N  	  0.310  	  1.000
30  	  N  	  0.300  	  1.000
31  	  N  	  0.290  	  1.000
32  	  N  	  0.281  	  1.000
33  	  R  	  0.303  	  1.000
34  	  N  	  0.294  	  1.000
35  	  N  	  0.286  	  1.000
36  	  N  	  0.278  	  1.000
37  	  N  	  0.270  	  1.000
38  	  N  	  0.263  	  1.000
39  	  N  	  0.256  	  1.000
40  	  N  	  0.250  	  1.000
41  	  N  	  0.244  	  1.000
42  	  N  	  0.238  	  1.000
43  	  N  	  0.233  	  1.000
44  	  N  	  0.227  	  1.000
45  	  N  	  0.222  	  1.000
46  	  N  	  0.217  	  1.000
47  	  N  	  0.213  	  1.000
48  	  N  	  0.208  	  1.000
49  	  N  	  0.204  	  1.000
50  	  N  	  0.200  	  1.000
51  	  R  	  0.216  	  1.000
52  	  N  	  0.212  	  1.000
53  	  N  	  0.208  	  1.000
54  	  N  	  0.204  	  1.000
55  	  N  	  0.200  	  1.000
56  	  N  	  0.196  	  1.000
57  	  N  	  0.193  	  1.000
58  	  N  	  0.190  	  1.000
59  	  N  	  0.186  	  1.000
60  	  N  	  0.183  	  1.000
61  	  N  	  0.180  	  1.000
62  	  N  	  0.177  	  1.000
63  	  N  	  0.175  	  1.000
64  	  R  	  0.188  	  1.000
65  	  N  	  0.185  	  1.000
66  	  N  	  0.182  	  1.000
67  	  N  	  0.179  	  1.000
68  	  N  	  0.176  	  1.000
69  	  N  	  0.174  	  1.000
70  	  N  	  0.171  	  1.000
71  	  N  	  0.169  	  1.000
72  	  R  	  0.181  	  1.000
73  	  N  	  0.178  	  1.000
74  	  N  	  0.176  	  1.000
75  	  N  	  0.173  	  1.000
76  	  N  	  0.171  	  1.000
77  	  R  	  0.182  	  1.000
78  	  N  	  0.179  	  1.000
79  	  N  	  0.177  	  1.000
80  	  N  	  0.175  	  1.000
81  	  N  	  0.173  	  1.000
82  	  N  	  0.171  	  1.000
83  	  N  	  0.169  	  1.000
84  	  N  	  0.167  	  1.000
85  	  N  	  0.165  	  1.000
86  	  N  	  0.163  	  1.000
87  	  N  	  0.161  	  1.000
88  	  N  	  0.159  	  1.000
89  	  N  	  0.157  	  1.000
90  	  N  	  0.156  	  1.000
91  	  N  	  0.154  	  1.000
92  	  N  	  0.152  	  1.000
93  	  N  	  0.151  	  1.000
94  	  N  	  0.149  	  1.000
95  	  N  	  0.147  	  1.000
96  	  N  	  0.146  	  1.000
97  	  N  	  0.144  	  1.000
98  	  N  	  0.143  	  1.000
99  	  N  	  0.141  	  1.000
100  	  N  	  0.140  	  1.000


Average precision = 0.28309956482996973

Average recall = 0.9640000000000001
