For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  R  	  0.400  	  0.800
11  	  N  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  N  	  0.308  	  0.800
14  	  R  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  R  	  0.375  	  1.000
17  	  N  	  0.353  	  1.000
18  	  N  	  0.333  	  1.000
19  	  N  	  0.316  	  1.000
20  	  N  	  0.300  	  1.000
21  	  R  	  0.333  	  1.000
22  	  N  	  0.318  	  1.000
23  	  N  	  0.304  	  1.000
24  	  N  	  0.292  	  1.000
25  	  R  	  0.320  	  1.000
26  	  N  	  0.308  	  1.000
27  	  N  	  0.296  	  1.000
28  	  N  	  0.286  	  1.000
29  	  N  	  0.276  	  1.000
30  	  N  	  0.267  	  1.000
31  	  N  	  0.258  	  1.000
32  	  N  	  0.250  	  1.000
33  	  N  	  0.242  	  1.000
34  	  N  	  0.235  	  1.000
35  	  N  	  0.229  	  1.000
36  	  N  	  0.222  	  1.000
37  	  R  	  0.243  	  1.000
38  	  N  	  0.237  	  1.000
39  	  N  	  0.231  	  1.000
40  	  N  	  0.225  	  1.000
41  	  N  	  0.220  	  1.000
42  	  R  	  0.238  	  1.000
43  	  N  	  0.233  	  1.000
44  	  N  	  0.227  	  1.000
45  	  R  	  0.244  	  1.000
46  	  N  	  0.239  	  1.000
47  	  R  	  0.255  	  1.000
48  	  N  	  0.250  	  1.000
49  	  N  	  0.245  	  1.000
50  	  N  	  0.240  	  1.000
51  	  N  	  0.235  	  1.000
52  	  N  	  0.231  	  1.000
53  	  N  	  0.226  	  1.000
54  	  N  	  0.222  	  1.000
55  	  N  	  0.218  	  1.000
56  	  N  	  0.214  	  1.000
57  	  N  	  0.211  	  1.000
58  	  N  	  0.207  	  1.000
59  	  N  	  0.203  	  1.000
60  	  N  	  0.200  	  1.000
61  	  N  	  0.197  	  1.000
62  	  N  	  0.194  	  1.000
63  	  N  	  0.190  	  1.000
64  	  N  	  0.188  	  1.000
65  	  N  	  0.185  	  1.000
66  	  N  	  0.182  	  1.000
67  	  N  	  0.179  	  1.000
68  	  N  	  0.176  	  1.000
69  	  N  	  0.174  	  1.000
70  	  R  	  0.186  	  1.000
71  	  N  	  0.183  	  1.000
72  	  N  	  0.181  	  1.000
73  	  N  	  0.178  	  1.000
74  	  N  	  0.176  	  1.000
75  	  N  	  0.173  	  1.000
76  	  R  	  0.184  	  1.000
77  	  N  	  0.182  	  1.000
78  	  N  	  0.179  	  1.000
79  	  N  	  0.177  	  1.000
80  	  N  	  0.175  	  1.000
81  	  N  	  0.173  	  1.000
82  	  N  	  0.171  	  1.000
83  	  N  	  0.169  	  1.000
84  	  N  	  0.167  	  1.000
85  	  N  	  0.165  	  1.000
86  	  N  	  0.163  	  1.000
87  	  N  	  0.161  	  1.000
88  	  N  	  0.159  	  1.000
89  	  N  	  0.157  	  1.000
90  	  N  	  0.156  	  1.000
91  	  N  	  0.154  	  1.000
92  	  N  	  0.152  	  1.000
93  	  N  	  0.151  	  1.000
94  	  N  	  0.149  	  1.000
95  	  N  	  0.147  	  1.000
96  	  N  	  0.146  	  1.000
97  	  N  	  0.144  	  1.000
98  	  N  	  0.143  	  1.000
99  	  N  	  0.141  	  1.000
100  	  N  	  0.140  	  1.000


Average precision = 0.2643544411687243

Average recall = 0.95
