Query: parallel languages languages for parallel computation
RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  R  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  R  	  0.750  	  1.200
09  	  N  	  0.667  	  1.200
10  	  N  	  0.600  	  1.200
11  	  R  	  0.636  	  1.400
12  	  R  	  0.667  	  1.600
13  	  N  	  0.615  	  1.600
14  	  R  	  0.643  	  1.800
15  	  R  	  0.667  	  2.000
16  	  R  	  0.688  	  2.200
17  	  R  	  0.706  	  2.400
18  	  R  	  0.722  	  2.600
19  	  R  	  0.737  	  2.800
20  	  R  	  0.750  	  3.000
21  	  R  	  0.762  	  3.200
22  	  N  	  0.727  	  3.200
23  	  N  	  0.696  	  3.200
24  	  R  	  0.708  	  3.400
25  	  R  	  0.720  	  3.600
26  	  R  	  0.731  	  3.800
27  	  N  	  0.704  	  3.800
28  	  R  	  0.714  	  4.000
29  	  N  	  0.690  	  4.000
30  	  N  	  0.667  	  4.000
31  	  N  	  0.645  	  4.000
32  	  R  	  0.656  	  4.200
33  	  N  	  0.636  	  4.200
34  	  N  	  0.618  	  4.200
35  	  N  	  0.600  	  4.200
36  	  R  	  0.611  	  4.400
37  	  N  	  0.595  	  4.400
38  	  N  	  0.579  	  4.400
39  	  N  	  0.564  	  4.400
40  	  N  	  0.550  	  4.400
41  	  N  	  0.537  	  4.400
42  	  N  	  0.524  	  4.400
43  	  N  	  0.512  	  4.400
44  	  N  	  0.500  	  4.400
45  	  N  	  0.489  	  4.400
46  	  N  	  0.478  	  4.400
47  	  N  	  0.468  	  4.400
48  	  N  	  0.458  	  4.400
49  	  N  	  0.449  	  4.400
50  	  N  	  0.440  	  4.400
51  	  N  	  0.431  	  4.400
52  	  N  	  0.423  	  4.400
53  	  N  	  0.415  	  4.400
54  	  N  	  0.407  	  4.400
55  	  N  	  0.400  	  4.400
56  	  N  	  0.393  	  4.400
57  	  N  	  0.386  	  4.400
58  	  N  	  0.379  	  4.400
59  	  N  	  0.373  	  4.400
60  	  N  	  0.367  	  4.400
61  	  N  	  0.361  	  4.400
62  	  N  	  0.355  	  4.400
63  	  N  	  0.349  	  4.400
64  	  N  	  0.344  	  4.400
65  	  N  	  0.338  	  4.400
66  	  N  	  0.333  	  4.400
67  	  N  	  0.328  	  4.400
68  	  N  	  0.324  	  4.400
69  	  N  	  0.319  	  4.400
70  	  N  	  0.314  	  4.400
71  	  N  	  0.310  	  4.400
72  	  N  	  0.306  	  4.400
73  	  N  	  0.301  	  4.400
74  	  N  	  0.297  	  4.400
75  	  N  	  0.293  	  4.400
76  	  N  	  0.289  	  4.400
77  	  N  	  0.286  	  4.400
78  	  N  	  0.282  	  4.400
79  	  N  	  0.278  	  4.400
80  	  N  	  0.275  	  4.400
81  	  N  	  0.272  	  4.400
82  	  N  	  0.268  	  4.400
83  	  N  	  0.265  	  4.400
84  	  N  	  0.262  	  4.400
85  	  N  	  0.259  	  4.400
86  	  R  	  0.267  	  4.600
87  	  N  	  0.264  	  4.600
88  	  N  	  0.261  	  4.600
89  	  N  	  0.258  	  4.600
90  	  N  	  0.256  	  4.600
91  	  N  	  0.253  	  4.600
92  	  N  	  0.250  	  4.600
93  	  N  	  0.247  	  4.600
94  	  N  	  0.245  	  4.600
95  	  N  	  0.242  	  4.600
96  	  R  	  0.250  	  4.800
97  	  N  	  0.247  	  4.800
98  	  N  	  0.245  	  4.800
99  	  N  	  0.242  	  4.800
100  	  N  	  0.240  	  4.800


Average precision = 0.46874121576047584

Average recall = 3.7560000000000024
