For Query: number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  N  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  R  	  0.545  	  1.000
12  	  R  	  0.583  	  1.000
13  	  R  	  0.615  	  1.000
14  	  N  	  0.571  	  1.000
15  	  N  	  0.533  	  1.000
16  	  N  	  0.500  	  1.000
17  	  N  	  0.471  	  1.000
18  	  N  	  0.444  	  1.000
19  	  N  	  0.421  	  1.000
20  	  N  	  0.400  	  1.000
21  	  N  	  0.381  	  1.000
22  	  N  	  0.364  	  1.000
23  	  N  	  0.348  	  1.000
24  	  N  	  0.333  	  1.000
25  	  N  	  0.320  	  1.000
26  	  N  	  0.308  	  1.000
27  	  N  	  0.296  	  1.000
28  	  N  	  0.286  	  1.000
29  	  N  	  0.276  	  1.000
30  	  N  	  0.267  	  1.000
31  	  N  	  0.258  	  1.000
32  	  R  	  0.281  	  1.000
33  	  N  	  0.273  	  1.000
34  	  N  	  0.265  	  1.000
35  	  N  	  0.257  	  1.000
36  	  N  	  0.250  	  1.000
37  	  N  	  0.243  	  1.000
38  	  N  	  0.237  	  1.000
39  	  N  	  0.231  	  1.000
40  	  N  	  0.225  	  1.000
41  	  N  	  0.220  	  1.000
42  	  N  	  0.214  	  1.000
43  	  N  	  0.209  	  1.000
44  	  N  	  0.205  	  1.000
45  	  N  	  0.200  	  1.000
46  	  N  	  0.196  	  1.000
47  	  R  	  0.213  	  1.000
48  	  N  	  0.208  	  1.000
49  	  R  	  0.224  	  1.000
50  	  N  	  0.220  	  1.000
51  	  N  	  0.216  	  1.000
52  	  N  	  0.212  	  1.000
53  	  N  	  0.208  	  1.000
54  	  N  	  0.204  	  1.000
55  	  N  	  0.200  	  1.000
56  	  N  	  0.196  	  1.000
57  	  N  	  0.193  	  1.000
58  	  N  	  0.190  	  1.000
59  	  N  	  0.186  	  1.000
60  	  N  	  0.183  	  1.000
61  	  N  	  0.180  	  1.000
62  	  N  	  0.177  	  1.000
63  	  N  	  0.175  	  1.000
64  	  N  	  0.172  	  1.000
65  	  N  	  0.169  	  1.000
66  	  N  	  0.167  	  1.000
67  	  N  	  0.164  	  1.000
68  	  N  	  0.162  	  1.000
69  	  N  	  0.159  	  1.000
70  	  R  	  0.171  	  1.000
71  	  N  	  0.169  	  1.000
72  	  N  	  0.167  	  1.000
73  	  N  	  0.164  	  1.000
74  	  N  	  0.162  	  1.000
75  	  N  	  0.160  	  1.000
76  	  N  	  0.158  	  1.000
77  	  N  	  0.156  	  1.000
78  	  N  	  0.154  	  1.000
79  	  N  	  0.152  	  1.000
80  	  N  	  0.150  	  1.000
81  	  N  	  0.148  	  1.000
82  	  N  	  0.146  	  1.000
83  	  N  	  0.145  	  1.000
84  	  N  	  0.143  	  1.000
85  	  N  	  0.141  	  1.000
86  	  N  	  0.140  	  1.000
87  	  N  	  0.138  	  1.000
88  	  N  	  0.136  	  1.000
89  	  N  	  0.135  	  1.000
90  	  N  	  0.133  	  1.000
91  	  N  	  0.132  	  1.000
92  	  N  	  0.130  	  1.000
93  	  N  	  0.129  	  1.000
94  	  N  	  0.128  	  1.000
95  	  N  	  0.126  	  1.000
96  	  N  	  0.125  	  1.000
97  	  N  	  0.124  	  1.000
98  	  N  	  0.122  	  1.000
99  	  N  	  0.121  	  1.000
100  	  N  	  0.120  	  1.000


Average precision = 0.2885852660811338

Average recall = 0.978
